
 num     #instances         #bytes  class name
----------------------------------------------
   1:      41701222     3756762752  [C
   2:      41002195     1312070240  java.lang.String
   3:      39625257     1268008224  org.apache.hadoop.hdds.protocol.DatanodeDetails$Port
   4:      39852985      956471640  java.lang.Integer
   5:       5660751      951006168  org.apache.hadoop.hdds.protocol.DatanodeDetails
   6:       7886721      805891560  [Ljava.lang.Object;
   7:         45539      704877520  [I
   8:       5020112      653229952  [B
   9:      10751461      602081816  java.lang.ThreadLocal$ThreadLocalMap$Entry
  10:       7389400      295576000  java.util.ArrayList
  11:       3968595      253990080  java.util.LinkedHashMap$Entry
  12:          2186      215023600  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
  13:       6228568      199314176  java.util.UUID
  14:       1135245      174083624  [Ljava.util.HashMap$Node;
  15:       4044874      161794960  java.util.concurrent.ConcurrentSkipListMap$Node
  16:       3395642      135825680  java.util.LinkedList$Node
  17:       3406333      109002656  com.google.protobuf.LiteralByteString
  18:       3285978      105151296  org.apache.ratis.server.protocol.TermIndex$1
  19:       3285961      105150752  org.apache.ratis.server.raftlog.LogEntryHeader$1
  20:       3285961      105150752  org.apache.ratis.server.raftlog.segmented.LogSegment$LogRecord
  21:       3231080      103394560  org.apache.hadoop.metrics2.util.SampleQuantiles$SampleItem
  22:       1109397       97626936  java.util.LinkedHashMap
  23:       1345590       86117760  org.apache.hadoop.hdds.protocol.proto.HddsProtos$Port
  24:           642       61052256  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  25:        604210       58004160  com.google.common.cache.LocalCache$StrongAccessWriteEntry
  26:        533751       51240096  org.apache.hadoop.hdds.scm.pipeline.Pipeline
  27:       2030581       48733944  java.lang.Double
  28:        262144       46137344  org.apache.logging.log4j.core.async.RingBufferLogEvent
  29:        513336       41066880  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OzoneAclInfo
  30:       1134383       38009040  [J
  31:       1109007       35488224  java.util.BitSet
  32:       1096770       35096640  java.time.Instant
  33:         19918       29478640  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OMResponse$Builder
  34:        356911       28552880  java.nio.DirectByteBuffer
  35:        680109       27204360  java.util.concurrent.ConcurrentSkipListMap$Index
  36:        554590       26620320  org.apache.hadoop.ozone.OzoneAcl
  37:       1067802       25627248  java.util.LinkedHashMap$LinkedKeySet
  38:        397267       25425088  java.util.HashMap
  39:        192228       24605184  org.apache.hadoop.hdds.protocol.proto.HddsProtos$DatanodeDetailsProto
  40:        357529       22881856  org.apache.ratis.proto.RaftProtos$CommitInfoProto
  41:        476097       19043880  com.google.protobuf.UnknownFieldSet$Builder
  42:        569323       18218336  java.util.Collections$UnmodifiableRandomAccessList
  43:         19926       16259616  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OMRequest
  44:         19927       15622768  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OMResponse
  45:          9960       15378240  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OMRequest$Builder
  46:        229361       14679104  org.apache.hadoop.hdds.protocol.proto.HddsProtos$UUID
  47:        584385       14025240  java.lang.Long
  48:        164927       13194160  java.util.stream.ReferencePipeline$Head
  49:        539604       12950496  org.apache.hadoop.hdds.scm.pipeline.PipelineID
  50:        322870       12914800  java.net.InetAddress$InetAddressHolder
  51:        534136       12819264  java.lang.ThreadLocal
  52:        527985       12671640  com.google.common.cache.LocalCache$StrongValueReference
  53:        262146       12583008  org.apache.logging.log4j.util.SortedArrayStringMap
  54:         46459       11150160  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$BucketInfo$Builder
  55:        264918       10596720  java.util.ArrayList$Itr
  56:        119173       10487224  org.apache.ratis.protocol.RaftClientReply
  57:        322867       10331744  java.net.Inet4Address
  58:        298591        9555160  [Ljava.net.InetAddress;
  59:        298306        9545792  java.net.InetAddress$CacheEntry
  60:        118010        9440800  java.nio.DirectByteBufferR
  61:         46459        9291800  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$BucketInfo
  62:        164537        9214072  java.util.stream.Collectors$CollectorImpl
  63:        164537        9214072  java.util.stream.ReduceOps$3
  64:        282050        9025600  org.apache.logging.log4j.core.time.MutableInstant
  65:        120901        8704872  org.apache.ratis.thirdparty.com.google.common.cache.LocalCache$StrongWriteEntry
  66:        178732        8579136  java.util.HashMap$Node
  67:        262144        8388608  org.apache.logging.log4j.core.async.AsyncLoggerConfigDisruptor$Log4jEventWrapper
  68:        259845        8315040  java.util.concurrent.CompletableFuture
  69:        164537        7897776  java.util.stream.ReduceOps$3ReducingSink
  70:         42503        7480528  org.apache.hadoop.ozone.om.helpers.OmBucketInfo
  71:        150249        7211952  java.util.LinkedList
  72:        172755        6667032  [Ljava.lang.String;
  73:         31252        6000384  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$KeyInfo
  74:        177862        5691584  org.apache.ratis.util.MemoizedSupplier
  75:        118017        5664816  org.apache.hadoop.hdds.utils.db.CodecBuffer
  76:         47207        5287184  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$DirectoryInfo
  77:         59818        5263984  sun.nio.cs.UTF_8$Encoder
  78:         81187        5195968  sun.nio.cs.UTF_8$Decoder
  79:         91676        5133856  java.nio.HeapByteBuffer
  80:         69046        4971312  com.google.protobuf.CodedInputStream
  81:        119174        4766960  org.apache.ratis.protocol.Message$1
  82:        119173        4766920  org.apache.ratis.server.impl.RetryCacheImpl$CacheEntry
  83:         48729        4677984  java.util.stream.ReferencePipeline$3
  84:        143643        4596576  org.apache.ratis.thirdparty.com.google.protobuf.ByteString$LiteralByteString
  85:         31217        4495248  org.apache.hadoop.hdds.protocol.proto.HddsProtos$Pipeline
  86:        136873        4379936  java.lang.StringBuilder
  87:        129973        4159136  org.apache.hadoop.hdds.utils.db.cache.CacheResult
  88:          5855        4121920  org.apache.hadoop.hdds.protocol.proto.StorageContainerLocationProtocolProtos$ScmContainerLocationRequest$Builder
  89:         68549        3838744  sun.nio.fs.UnixPath
  90:         95635        3825400  java.util.stream.Collectors$$Lambda$85/103787801
  91:        119173        3813536  org.apache.ratis.protocol.ClientInvocationId
  92:         47206        3776480  org.apache.hadoop.ozone.om.helpers.OmDirectoryInfo
  93:         59005        3776320  java.nio.StringCharBuffer
  94:         91520        3660800  java.util.ArrayList$ArrayListSpliterator
  95:         44859        3588720  org.apache.hadoop.ozone.security.acl.RequestContext
  96:         22034        3525440  org.apache.hadoop.ipc.Server$RpcCall
  97:         85997        3439880  org.apache.hadoop.hdds.security.OMPassWordManager$PasswordItem
  98:         28551        3426120  org.apache.hadoop.ozone.om.helpers.OmVolumeArgs
  99:         70986        3407328  java.util.concurrent.ConcurrentHashMap$Node
 100:        141816        3403584  org.apache.ratis.thirdparty.com.google.common.cache.LocalCache$StrongValueReference
 101:         31262        3251248  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$KeyLocation
 102:        130376        3129024  org.apache.hadoop.hdds.utils.db.cache.CacheKey
 103:         32207        3091872  org.apache.ratis.thirdparty.io.netty.buffer.PoolSubpage
 104:         62826        3015648  java.util.concurrent.locks.ReentrantLock$NonfairSync
 105:         30286        2907456  io.netty.buffer.PoolSubpage
 106:        119174        2860176  org.apache.ratis.protocol.Message$$Lambda$633/1234023544
 107:         59005        2832240  org.apache.hadoop.hdds.utils.db.StringCodecBase$$Lambda$176/169049466
 108:         12179        2728096  org.apache.hadoop.ipc.Server$Connection
 109:         17647        2682344  org.apache.hadoop.hdds.protocol.proto.HddsProtos$DatanodeDetailsProto$Builder
 110:         15183        2594000  java.lang.Class
 111:         53280        2557440  java.util.LinkedList$ListItr
 112:         53103        2548944  org.apache.ratis.thirdparty.io.netty.buffer.ByteBufInputStream
 113:         53103        2548944  org.apache.ratis.thirdparty.io.netty.buffer.UnpooledDuplicatedByteBuf
 114:        101533        2436792  java.util.stream.Collectors$$Lambda$86/1205580258
 115:         37070        2372480  org.apache.hadoop.hdds.protocol.proto.HddsProtos$PipelineID
 116:         32769        2359368  org.apache.hadoop.hdds.protocol.proto.HddsProtos$ECReplicationConfig
 117:          5854        2341600  org.apache.hadoop.hdds.protocol.proto.StorageContainerLocationProtocolProtos$ScmContainerLocationResponse
 118:           485        2300992  [Ljava.nio.ByteBuffer;
 119:         17908        2292224  org.apache.hadoop.hdds.protocol.DatanodeDetails$Builder
 120:         31252        2250144  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$KeyLocationList
 121:          5858        2249472  org.apache.hadoop.hdds.protocol.proto.StorageContainerLocationProtocolProtos$ScmContainerLocationRequest
 122:         13822        2211520  java.lang.reflect.Method
 123:         12250        2156000  sun.nio.ch.SocketChannelImpl
 124:         36357        2035992  java.util.LinkedHashMap$LinkedKeyIterator
 125:         31262        2000768  org.apache.hadoop.hdds.protocol.proto.HddsProtos$BlockID
 126:         31262        2000768  org.apache.hadoop.hdds.protocol.proto.HddsProtos$ContainerBlockID
 127:         61801        1977632  org.apache.hadoop.hdds.utils.CompositeKey
 128:         20043        1924128  java.util.stream.ReferencePipeline$2
 129:         59996        1919872  com.codahale.metrics.WeightedSnapshot$WeightedSample
 130:         59005        1888160  org.apache.hadoop.hdds.utils.db.TypedTable$$Lambda$177/1183572822
 131:         25725        1852200  org.apache.hadoop.thirdparty.protobuf.CodedInputStream$ArrayDecoder
 132:         32805        1837080  org.apache.ratis.thirdparty.com.google.common.cache.LocalCache$WeakValueReference
 133:         56922        1821504  org.apache.hadoop.ozone.om.lock.LockUsageInfo
 134:         24982        1798704  org.apache.ratis.proto.RaftProtos$LogEntryProto
 135:         15808        1770496  org.apache.hadoop.ipc.protobuf.RpcHeaderProtos$RpcResponseHeaderProto
 136:          2560        1740800  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
 137:        107801        1724816  java.lang.Object
 138:         23805        1713960  org.apache.ratis.thirdparty.com.google.common.cache.LocalCache$StrongAccessEntry
 139:         53553        1713696  org.apache.hadoop.thirdparty.protobuf.ByteString$LiteralByteString
 140:         52329        1674528  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter
 141:         15855        1648920  org.apache.hadoop.ipc.protobuf.RpcHeaderProtos$RpcRequestHeaderProto
 142:         32810        1574880  org.apache.ratis.thirdparty.com.google.common.cache.LocalCache$StrongEntry
 143:         10240        1561312  [Ljava.util.WeakHashMap$Entry;
 144:         48729        1559328  java.util.stream.ReferencePipeline$3$1
 145:         38118        1524720  javax.security.auth.Subject$SecureSet
 146:         62782        1506768  java.util.concurrent.locks.ReentrantLock
 147:          1160        1465536  [Lorg.apache.ratis.thirdparty.io.netty.buffer.PoolSubpage;
 148:         20341        1464552  java.security.AccessControlContext
 149:          5896        1462208  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$KeyInfo$Builder
 150:         59007        1416168  org.apache.hadoop.hdds.utils.db.TypedTable$$Lambda$172/1729171313
 151:         21966        1405824  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OzoneFileStatusProto
 152:         24650        1380400  org.apache.ratis.thirdparty.io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 153:          9953        1353608  org.apache.logging.log4j.core.impl.Log4jLogEvent
 154:          9953        1353608  org.apache.logging.log4j.core.impl.Log4jLogEvent$Builder
 155:         31989        1279560  org.apache.hadoop.hdds.client.ECReplicationConfig
 156:         38132        1220224  java.util.Collections$SynchronizedSet
 157:         37320        1194240  java.util.Arrays$ArrayList
 158:         28882        1155280  org.apache.ratis.thirdparty.io.netty.util.Recycler$DefaultHandle
 159:         12992        1143296  org.apache.ratis.proto.RaftProtos$StateMachineLogEntryProto
 160:          5896        1132032  org.apache.hadoop.hdds.protocol.proto.HddsProtos$Pipeline$Builder
 161:         27876        1115040  org.apache.hadoop.thirdparty.protobuf.UnknownFieldSet$Builder
 162:         22651        1087248  java.util.Hashtable$Entry
 163:         16079        1029056  sun.nio.ch.SelectionKeyImpl
 164:         18316        1025696  java.util.HashMap$KeyIterator
 165:         15726        1006464  java.util.TreeMap$Entry
 166:         24798         991920  java.net.InetSocketAddress$InetSocketAddressHolder
 167:         24338         973520  org.apache.ratis.protocol.ClientId
 168:         30080         962560  java.util.Collections$UnmodifiableCollection$1
 169:         10002         960192  [Lorg.apache.hadoop.ipc.ProcessingDetails$Timing;
 170:         14953         956992  org.apache.hadoop.ozone.security.acl.OzoneObjInfo
 171:         11894         951520  java.util.TreeMap
 172:          5907         945120  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$KeyArgs
 173:         12292         916736  [Ljava.nio.channels.SelectionKey;
 174:          5900         896800  org.apache.hadoop.ozone.om.helpers.OmKeyInfo
 175:         15807         885192  org.apache.hadoop.thirdparty.protobuf.CodedOutputStream$OutputStreamEncoder
 176:         36565         877560  java.util.concurrent.atomic.AtomicInteger
 177:         12180         876960  org.apache.hadoop.ipc.protobuf.IpcConnectionContextProtos$UserInformationProto
 178:         21921         876840  com.google.protobuf.CodedOutputStream
 179:         15191         850696  java.nio.HeapCharBuffer
 180:          5854         842976  org.apache.hadoop.hdds.protocol.proto.HddsProtos$ContainerInfoProto
 181:         12706         813184  org.apache.hadoop.security.User
 182:         19958         797976  [Lorg.apache.hadoop.ozone.om.request.validation.ValidationCondition;
 183:         19913         796520  java.util.Spliterators$ArraySpliterator
 184:          9855         788400  org.apache.hadoop.ipc.protobuf.ProtobufRpcEngine2Protos$RequestHeaderProto
 185:         12250         784000  sun.nio.ch.SocketAdaptor
 186:         12180         779520  org.apache.hadoop.ipc.protobuf.IpcConnectionContextProtos$IpcConnectionContextProto
 187:         24341         778912  org.apache.ratis.protocol.RaftId$$Lambda$184/971256592
 188:          5853         749184  org.apache.hadoop.hdds.scm.container.ContainerInfo
 189:         30399         729576  java.util.LinkedHashSet
